SIRIUS REAL ESTATE LTD,GG00B1W3VF54,"0,07"
TANGER FACTORY OUTLET CENTERS REIT,US8754651060,"0,07"
RPT REALTY,US74971D1019,"0,07"
SUMMIT HOTEL PROPERTIES REIT INC,US8660821005,"0,07"
GETTY REALTY REIT CORP,US3742971092,"0,07"
SUMMIT INDUSTRIAL INCOME REIT UNIT,CA8661201167,"0,07"
CROMBIE REAL ESTATE INVESTMENT TRU,CA2271071094,"0,07"
GCP STUDENT LIVING PLC,GB00B8460Z43,"0,07"
NORTHWEST HEALTHCARE PROPERTIES UN,CA6674951059,"0,07"
NSI NV,NL0012365084,"0,07"
HIBERNIA REIT PLC,IE00BGHQ1986,"0,07"
ATRIUM LJUNGBERG B,SE0000191827,"0,07"
XIOR STUDENT HOUSING NV,BE0974288202,"0,06"
ADO PROPERTIES,LU1250154413,"0,06"
CATENA,SE0001664707,"0,06"
LXI REIT PLC,GB00BYQ46T41,"0,06"
DIOS FASTIGHETER,SE0001634262,"0,06"
CDL HOSPITALITY REIT UNITS,SG1T66931158,"0,05"
RETAIL ESTATES NV,BE0003720340,"0,05"
CIVITAS SOCIAL HOUSING PLC,GB00BD8HBD32,"0,05"
INVESTORS REAL ESTATE TRUST REIT,US4617305093,"0,05"
HAMBORNER REIT AG,DE0006013006,"0,05"
CITYCON,FI4000369947,"0,05"
EMPIRIC STUDENT PROPERTY PLC,GB00BLWDVR75,"0,05"
FRANKLIN STREET PROPERTIES REIT CO,US35471R1068,"0,05"
IRISH RESIDENTIAL PROPERTIES PLC,IE00BJ34P519,"0,05"
MERCIALYS REIT SA,FR0010241638,"0,05"
TARGET HEALTHCARE REIT PLC,GB00BJGTLF51,"0,05"
INTERVEST OFFICES & WAREHOUSES REI,BE0003746600,"0,05"
CHATHAM LODGING TRUST REIT,US16208T1025,"0,05"
WERELDHAVE NV,NL0000289213,"0,05"
BMO COMMERCIAL PROPERTY TRUST LIMI,GG00B4ZPCJ00,"0,05"
NEWRIVER REIT PLC,GB00BD7XPJ64,"0,05"
UK COMMERCIAL PROPERTY TRUST LTD,GB00B19Z2J52,"0,04"
URSTADT BIDDLE PROPERTIES REIT INC,US9172862057,"0,04"
ALEXANDERS REIT INC,US0147521092,"0,04"
HELICAL PLC,GB00B0FYMT95,"0,04"
PICTON PROPERTY INCOME LTD,GB00B0LCW208,"0,04"
REGIONAL REIT LTD,GG00BYV2ZQ34,"0,04"
CARMILA SA,FR0010828137,"0,04"
CUSTODIAN REIT PLC,GB00BJFLFT45,"0,04"
SAUL CENTERS REIT INC,US8043951016,"0,04"
LAR ESPANA REAL ESTATE SA,ES0105015012,"0,03"
STANDARD LIFE INVESTMENTS PROPERTY,GB0033875286,"0,03"
VASTNED RETAIL REIT NV,NL0000288918,"0,03"
HERSHA HOSPITALITY REIT TRUST CLAS,US4278255009,"0,03"
WASHINGTON PRIME GROUP INC,US93964W1080,"0,03"
TRIPLE POINT SOCIAL HOUSING REIT P,GB00BF0P7H59,"0,03"
RDI REIT PLC,IM00BH3JLY32,"0,03"
TLG IMMOBILEN AG,DE000A12B8Z4,"0,03"
SCHRODER REAL ESTATE INVESTMENT TR,GB00B01HM147,"0,02"
IMMOBILIARE GRANDE DISTRIBUZIONE S,IT0005322612,"0,02"
HIAG IMMOBILIEN HOLDING AG,CH0239518779,"0,02"
LEASINVEST,BE0003770840,"0,02"
PHOENIX SPREE DEUTSCHLAND LTD,JE00B248KJ21,"0,02"
IMPACT HEALTHCARE REIT PLC,GB00BYXVMJ03,"0,02"
BMO REAL ESTATE INVESTMENTS LIMITE,GB00B012T521,"0,02"
WERELDHAVE BELGIUM CVA REIT,BE0003724383,"0,01"
INTU PROPERTIES REIT PLC,GB0006834344,"0,01"
STOXX EUROPE 600 RE MAR 20,DE000C360RB8,0
BGP HOLDINGS PLC - UNLISTED Prvt,MV3357358ZDD,0
